Kategorie	Titel	Personen	Prozent	Jahr	Kommentar	Quelle
Sport	Mitglieder DAV	1520381		2023		https://www.alpenverein.de/verband/ueber-den-dav/der-dav-in-zahlen
Gesundheit	Schwerbehinderte	7800000		2021		https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Behinderte-Menschen/_inhalt.html
Gesundheit	Taub oder hochgradig schwerhörig		9	1999	Hochrechnung	https://www.schwerhoerigen-netz.de/statistiken/
Gesundheit	Rot-Grün-Schwäche		4	2022	8% bei Männern, 0.4% bei Frauen	https://www.pro-retina.de/netzhaut-und-farbenblindheit
Gesundheit	Rollstuhlfahrer	1600000		2019		https://sozialhelden.de/wp-content/uploads/2019/07/DStGB_Broschuere2019_Web.pdf
Gesundheit	Pflegebedürftig in Heimen	793461		2022		https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Gesundheit/Pflege/Tabellen/pflegebeduerftige-pflegestufe.html
Gesundheit	Blind oder hochgradig sehbehindert	109260		2021	Nur mit Antrag auf Schwerbehinderung, daher Realität höher	https://www.rehadat-statistik.de/statistiken/behinderung/behinderungsarten/blindheit-und-sehbehinderung/
Gesundheit	Raucher	11600000		2021		https://www.bundesgesundheitsministerium.de/themen/praevention/gesundheitsgefahren/sucht-und-drogen.html
Gesundheit	Alkoholanhängig	1600000		2021		https://www.bundesgesundheitsministerium.de/themen/praevention/gesundheitsgefahren/sucht-und-drogen.html
Gesundheit	Drogensüchtig	1300000		2021		https://www.bundesgesundheitsministerium.de/themen/praevention/gesundheitsgefahren/sucht-und-drogen.html
Gesundheit	Glücksspielsucht	1300000		2021		https://www.bundesgesundheitsministerium.de/themen/praevention/gesundheitsgefahren/sucht-und-drogen.html
